Precentral_L|[Precentral_L description goes here]
Precentral_R|[Precentral_R description goes here]
Frontal_Sup_L|[Frontal_Sup_L description goes here]
Frontal_Sup_R|[Frontal_Sup_R description goes here]
Frontal_Sup_Orb_L|[Frontal_Sup_Orb_L description goes here]
Frontal_Sup_Orb_R|[Frontal_Sup_Orb_R description goes here]
Frontal_Mid_L|[Frontal_Mid_L description goes here]
Frontal_Mid_R|[Frontal_Mid_R description goes here]
Frontal_Mid_Orb_L|[Frontal_Mid_Orb_L description goes here]
Frontal_Mid_Orb_R|[Frontal_Mid_Orb_R description goes here]
Frontal_Inf_Oper_L|[Frontal_Inf_Oper_L description goes here]
Frontal_Inf_Oper_R|[Frontal_Inf_Oper_R description goes here]
Frontal_Inf_Tri_L|[Frontal_Inf_Tri_L description goes here]
Frontal_Inf_Tri_R|[Frontal_Inf_Tri_R description goes here]
Frontal_Inf_Orb_L|[Frontal_Inf_Orb_L description goes here]
Frontal_Inf_Orb_R|[Frontal_Inf_Orb_R description goes here]
Rolandic_Oper_L|[Rolandic_Oper_L description goes here]
Rolandic_Oper_R|[Rolandic_Oper_R description goes here]
Supp_Motor_Area_L|[Supp_Motor_Area_L description goes here]
Supp_Motor_Area_R|[Supp_Motor_Area_R description goes here]
Olfactory_L|[Olfactory_L description goes here]
Olfactory_R|[Olfactory_R description goes here]
Frontal_Sup_Medial_L|[Frontal_Sup_Medial_L description goes here]
Frontal_Sup_Medial_R|[Frontal_Sup_Medial_R description goes here]
Frontal_Med_Orb_L|[Frontal_Med_Orb_L description goes here]
Frontal_Med_Orb_R|[Frontal_Med_Orb_R description goes here]
Rectus_L|[Rectus_L description goes here]
Rectus_R|[Rectus_R description goes here]
Insula_L|[Insula_L description goes here]
Insula_R|[Insula_R description goes here]
Cingulum_Ant_L|[Cingulum_Ant_L description goes here]
Cingulum_Ant_R|[Cingulum_Ant_R description goes here]
Cingulum_Mid_L|[Cingulum_Mid_L description goes here]
Cingulum_Mid_R|[Cingulum_Mid_R description goes here]
Cingulum_Post_L|[Cingulum_Post_L description goes here]
Cingulum_Post_R|[Cingulum_Post_R description goes here]
Hippocampus_L|[Hippocampus_L description goes here]
Hippocampus_R|[Hippocampus_R description goes here]
ParaHippocampal_L|[ParaHippocampal_L description goes here]
ParaHippocampal_R|[ParaHippocampal_R description goes here]
Amygdala_L|[Amygdala_L description goes here]
Amygdala_R|[Amygdala_R description goes here]
Calcarine_L|[Calcarine_L description goes here]
Calcarine_R|[Calcarine_R description goes here]
Cuneus_L|[Cuneus_L description goes here]
Cuneus_R|[Cuneus_R description goes here]
Lingual_L|[Lingual_L description goes here]
Lingual_R|[Lingual_R description goes here]
Occipital_Sup_L|[Occipital_Sup_L description goes here]
Occipital_Sup_R|[Occipital_Sup_R description goes here]
Occipital_Mid_L|[Occipital_Mid_L description goes here]
Occipital_Mid_R|[Occipital_Mid_R description goes here]
Occipital_Inf_L|[Occipital_Inf_L description goes here]
Occipital_Inf_R|[Occipital_Inf_R description goes here]
Fusiform_L|[Fusiform_L description goes here]
Fusiform_R|[Fusiform_R description goes here]
Postcentral_L|[Postcentral_L description goes here]
Postcentral_R|[Postcentral_R description goes here]
Parietal_Sup_L|[Parietal_Sup_L description goes here]
Parietal_Sup_R|[Parietal_Sup_R description goes here]
Parietal_Inf_L|[Parietal_Inf_L description goes here]
Parietal_Inf_R|[Parietal_Inf_R description goes here]
SupraMarginal_L|[SupraMarginal_L description goes here]
SupraMarginal_R|[SupraMarginal_R description goes here]
Angular_L|[Angular_L description goes here]
Angular_R|[Angular_R description goes here]
Precuneus_L|[Precuneus_L description goes here]
Precuneus_R|[Precuneus_R description goes here]
Paracentral_Lobule_L|[Paracentral_Lobule_L description goes here]
Paracentral_Lobule_R|[Paracentral_Lobule_R description goes here]
Caudate_L|[Caudate_L description goes here]
Caudate_R|[Caudate_R description goes here]
Putamen_L|[Putamen_L description goes here]
Putamen_R|[Putamen_R description goes here]
Pallidum_L|[Pallidum_L description goes here]
Pallidum_R|[Pallidum_R description goes here]
Thalamus_L|[Thalamus_L description goes here]
Thalamus_R|[Thalamus_R description goes here]
Heschl_L|[Heschl_L description goes here]
Heschl_R|[Heschl_R description goes here]
Temporal_Sup_L|[Temporal_Sup_L description goes here]
Temporal_Sup_R|[Temporal_Sup_R description goes here]
Temporal_Pole_Sup_L|[Temporal_Pole_Sup_L description goes here]
Temporal_Pole_Sup_R|[Temporal_Pole_Sup_R description goes here]
Temporal_Mid_L|[Temporal_Mid_L description goes here]
Temporal_Mid_R|[Temporal_Mid_R description goes here]
Temporal_Pole_Mid_L|[Temporal_Pole_Mid_L description goes here]
Temporal_Pole_Mid_R|[Temporal_Pole_Mid_R description goes here]
Temporal_Inf_L|[Temporal_Inf_L description goes here]
Temporal_Inf_R|[Temporal_Inf_R description goes here]
Cerebelum_Crus1_L|[Cerebelum_Crus1_L description goes here]
Cerebelum_Crus1_R|[Cerebelum_Crus1_R description goes here]
Cerebelum_Crus2_L|[Cerebelum_Crus2_L description goes here]
Cerebelum_Crus2_R|[Cerebelum_Crus2_R description goes here]
Cerebelum_3_L|[Cerebelum_3_L description goes here]
Cerebelum_3_R|[Cerebelum_3_R description goes here]
Cerebelum_4_5_L|[Cerebelum_4_5_L description goes here]
Cerebelum_4_5_R|[Cerebelum_4_5_R description goes here]
Cerebelum_6_L|[Cerebelum_6_L description goes here]
Cerebelum_6_R|[Cerebelum_6_R description goes here]
Cerebelum_7b_L|[Cerebelum_7b_L description goes here]
Cerebelum_7b_R|[Cerebelum_7b_R description goes here]
Cerebelum_8_L|[Cerebelum_8_L description goes here]
Cerebelum_8_R|[Cerebelum_8_R description goes here]
Cerebelum_9_L|[Cerebelum_9_L description goes here]
Cerebelum_9_R|[Cerebelum_9_R description goes here]
Cerebelum_10_L|[Cerebelum_10_L description goes here]
Cerebelum_10_R|[Cerebelum_10_R description goes here]
Vermis_1_2|[Vermis_1_2 description goes here]
Vermis_3|[Vermis_3 description goes here]
Vermis_4_5|[Vermis_4_5 description goes here]
Vermis_6|[Vermis_6 description goes here]
Vermis_7|[Vermis_7 description goes here]
Vermis_8|[Vermis_8 description goes here]
Vermis_9|[Vermis_9 description goes here]
Vermis_10|[Vermis_10 description goes here]
BNST_L|[BNST_L description goes here]
BNST_R|[BNST_R description goes here]