1,Precentral_L,-39,-7,50
2,Precentral_R,41,-10,51
3,Frontal_Sup_L,-19,33,41
4,Frontal_Sup_R,22,30,43
5,Frontal_Sup_Orb_L,-17,46,-15
6,Frontal_Sup_Orb_R,18,47,-15
7,Frontal_Mid_L,-34,31,34
8,Frontal_Mid_R,37,32,33
9,Frontal_Mid_Orb_L,-31,49,-11
10,Frontal_Mid_Orb_R,33,51,-12
11,Frontal_Inf_Oper_L,-49,11,18
12,Frontal_Inf_Oper_R,50,14,20
13,Frontal_Inf_Tri_L,-46,29,13
14,Frontal_Inf_Tri_R,50,29,13
15,Frontal_Inf_Orb_L,-36,29,-13
16,Frontal_Inf_Orb_R,41,31,-13
17,Rolandic_Oper_L,-47,-10,13
18,Rolandic_Oper_R,52,-8,13
19,Supp_Motor_Area_L,-6,4,60
20,Supp_Motor_Area_R,8,-1,61
21,Olfactory_L,-8,14,-13
22,Olfactory_R,10,15,-13
23,Frontal_Sup_Medial_L,-5,48,30
24,Frontal_Sup_Medial_R,9,50,29
25,Frontal_Med_Orb_L,-5,53,-9
26,Frontal_Med_Orb_R,8,50,-9
27,Rectus_L,-5,36,-20
28,Rectus_R,8,34,-19
29,Insula_L,-35,5,2
30,Insula_R,39,5,1
31,Cingulum_Ant_L,-4,34,13
32,Cingulum_Ant_R,8,36,14
33,Cingulum_Mid_L,-6,-16,40
34,Cingulum_Mid_R,8,-10,38
35,Cingulum_Post_L,-5,-44,23
36,Cingulum_Post_R,7,-43,20
37,Hippocampus_L,-25,-22,-11
38,Hippocampus_R,29,-21,-12
39,ParaHippocampal_L,-21,-17,-22
40,ParaHippocampal_R,25,-16,-22
41,Amygdala_L,-24,-2,-18
42,Amygdala_R,27,-1,-19
43,Calcarine_L,-7,-80,5
44,Calcarine_R,16,-74,8
45,Cuneus_L,-6,-81,26
46,Cuneus_R,13,-81,27
47,Lingual_L,-15,-69,-6
48,Lingual_R,16,-68,-5
49,Occipital_Sup_L,-17,-86,27
50,Occipital_Sup_R,24,-82,29
51,Occipital_Mid_L,-33,-82,15
52,Occipital_Mid_R,37,-81,18
53,Occipital_Inf_L,-36,-80,-9
54,Occipital_Inf_R,38,-83,-9
55,Fusiform_L,-31,-41,-22
56,Fusiform_R,34,-40,-22
57,Postcentral_L,-43,-24,47
58,Postcentral_R,41,-27,51
59,Parietal_Sup_L,-24,-61,58
60,Parietal_Sup_R,26,-60,61
61,Parietal_Inf_L,-43,-47,45
62,Parietal_Inf_R,46,-48,48
63,SupraMarginal_L,-56,-35,29
64,SupraMarginal_R,57,-33,33
65,Angular_L,-44,-62,34
66,Angular_R,45,-61,37
67,Precuneus_L,-8,-57,47
68,Precuneus_R,10,-57,42
69,Paracentral_Lobule_L,-8,-27,69
70,Paracentral_Lobule_R,7,-33,67
71,Caudate_L,-12,10,8
72,Caudate_R,14,11,8
73,Putamen_L,-24,3,1
74,Putamen_R,27,4,1
75,Pallidum_L,-18,-1,-1
76,Pallidum_R,21,-1,-1
77,Thalamus_L,-11,-19,7
78,Thalamus_R,13,-19,7
79,Heschl_L,-42,-20,9
80,Heschl_R,46,-18,9
81,Temporal_Sup_L,-53,-22,6
82,Temporal_Sup_R,58,-23,5
83,Temporal_Pole_Sup_L,-40,14,-21
84,Temporal_Pole_Sup_R,48,13,-18
85,Temporal_Mid_L,-56,-35,-4
86,Temporal_Mid_R,57,-39,-3
87,Temporal_Pole_Mid_L,-37,13,-35
88,Temporal_Pole_Mid_R,44,13,-34
89,Temporal_Inf_L,-50,-29,-25
90,Temporal_Inf_R,53,-32,-24
91,Cerebelum_Crus1_L,-35,-68,-30
92,Cerebelum_Crus1_R,38,-68,-31
93,Cerebelum_Crus2_L,-28,-75,-39
94,Cerebelum_Crus2_R,33,-70,-41
95,Cerebelum_3_L,-8,-38,-20
96,Cerebelum_3_R,13,-36,-21
97,Cerebelum_4_5_L,-14,-45,-18
98,Cerebelum_4_5_R,18,-44,-19
99,Cerebelum_6_L,-23,-60,-23
100,Cerebelum_6_R,25,-60,-25
101,Cerebelum_7b_L,-32,-61,-47
102,Cerebelum_7b_R,34,-64,-50
103,Cerebelum_8_L,-25,-56,-49
104,Cerebelum_8_R,26,-58,-51
105,Cerebelum_9_L,-10,-50,-47
106,Cerebelum_9_R,10,-51,-48
107,Cerebelum_10_L,-22,-35,-43
108,Cerebelum_10_R,27,-35,-43
109,Vermis_1_2,2,-40,-21
110,Vermis_3,2,-41,-13
111,Vermis_4_5,2,-54,-7
112,Vermis_6,2,-68,-16
113,Vermis_7,2,-73,-26
114,Vermis_8,2,-66,-35
115,Vermis_9,2,-56,-36
116,Vermis_10,1,-47,-33
117,BNST_L,0,0,0
118,BNST_R,0,0,0